,cmte_id,cmte_nm,cmte_tp,cmte_dsgn,cmte_filing_freq,ttl_receipts,trans_from_aff,indv_contrib,other_pol_cmte_contrib,cand_contrib,cand_loans,ttl_loans_received,ttl_disb,tranf_to_aff,indv_refunds,other_pol_cmte_refunds,cand_loan_repay,loan_repay,coh_bop,coh_cop,debts_owed_by,nonfed_trans_received,contrib_to_other_cmte,ind_exp,pty_coord_exp,nonfed_share_exp,cvg_end_dt,file_year
0,C00079541,NARAL PRO-CHOICE AMERICA PAC,Q,B,M,896350.43,0.0,894850.43,0.0,0.0,0.0,0.0,904236.51,0.0,2752.5,0.0,0.0,0.0,31777.8,23891.72,0.0,0.0,823713.54,0.0,0.0,0.0,12/31/2022,2022
1,C90004185,NARAL PRO-CHOICE AMERICA,I,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03/31/2022,2022
2,C90021064,NARAL PRO-CHOICE MISSOURI,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2022
3,C00079541,NARAL PRO-CHOICE AMERICA PAC,Q,B,M,1177349.15,0.0,1172349.15,5000.0,0.0,0.0,0.0,1170908.94,0.0,14528.0,0.0,0.0,0.0,25337.59,31777.8,0.0,0.0,1048776.22,0.0,0.0,0.0,12/31/2020,2020
4,C70004213,NARAL PRO-CHOICE MASSACHUSETTS,C,U,A,,,,,,,,,,,,,,,,,,,,,,,2020
5,C90004185,NARAL PRO-CHOICE AMERICA,I,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1401919.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2020,2020
6,C90021064,NARAL PRO-CHOICE MISSOURI,I,U,Q,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,4664.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2020,2020
7,C00079541,NARAL PRO-CHOICE AMERICA PAC,Q,B,M,807519.92,0.0,797349.02,5000.0,0.0,0.0,0.0,820707.65,0.0,5733.33,0.0,0.0,0.0,38525.32,25337.59,0.0,0.0,542825.43,0.0,0.0,0.0,12/31/2018,2018
8,C70002761,NARAL PRO-CHOICE AMERICA,C,U,A,,,,,,,,,,,,,,,,,,,,,,,2018
9,C70003892,NARAL PRO-CHOICE NEW HAMPSHIRE,C,U,A,,,,,,,,,,,,,,,,,,,,,,,2018
10,C70004213,NARAL PRO-CHOICE MASSACHUSETTS,C,U,A,,,,,,,,,,,,,,,,,,,,,,,2018
11,C70005129,NARAL PRO-CHOICE MINNESOTA,C,U,A,,,,,,,,,,,,,,,,,,,,,,,2018
12,C90004185,NARAL PRO-CHOICE AMERICA,I,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962853.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2018,2018
13,C90015306,NARAL PROCHOICE COLORADO IE COMMITTEE,I,U,A,,,,,,,,,,,,,,,,,,,,,,,2018
14,C00079541,NARAL PRO-CHOICE AMERICA PAC,Q,B,M,608354.31,0.0,606019.15,500.0,0.0,0.0,0.0,752875.13,0.0,60.0,0.0,0.0,0.0,183046.14,38525.32,0.0,0.0,265665.0,281375.4,0.0,0.0,12/31/2016,2016
15,C00401455,NARAL PRO-CHOICE WASHINGTON STAND UP FOR A PRO-CHOICE FUTURE,Q,U,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,11/07/2016,2016
16,C70002761,NARAL PRO-CHOICE AMERICA,C,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09/30/2015,2016
17,C70003892,NARAL PRO-CHOICE NEW HAMPSHIRE,C,U,Q,,,,,,,,,,,,,,,,,,,,,,,2016
18,C70004213,NARAL PRO-CHOICE MASSACHUSETTS,C,U,Q,,,,,,,,,,,,,,,,,,,,,,,2016
19,C70005129,NARAL PRO-CHOICE MINNESOTA,C,U,Q,,,,,,,,,,,,,,,,,,,,,,,2016
20,C90004185,NARAL PRO-CHOICE AMERICA,I,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348453.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2016,2016
21,C90015306,NARAL PROCHOICE COLORADO IE COMMITTEE,I,U,Q,,,,,,,,,,,,,,,,,,,,,,,2016
22,C00079541,NARAL PRO-CHOICE AMERICA PAC,Q,B,M,660790.42,0.0,660790.42,0.0,0.0,0.0,0.0,828016.91,0.0,-5.0,0.0,0.0,0.0,350272.63,183046.14,0.0,0.0,321284.0,9350.0,0.0,0.0,12/31/2014,2014
23,C00401455,NARAL PRO-CHOICE WASHINGTON STAND UP FOR A PRO-CHOICE FUTURE,Q,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.48,155.48,0.0,0.0,0.0,0.0,0.0,0.0,06/30/2014,2014
24,C70002761,NARAL PRO-CHOICE AMERICA,C,U,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/15/2014,2014
25,C70005129,NARAL PRO-CHOICE MINNESOTA,C,U,Q,,,,,,,,,,,,,,,,,,,,,,,2014
26,C90015306,NARAL PROCHOICE COLORADO IE COMMITTEE,I,U,Q,426523.0,0.0,0.0,0.0,0.0,0.0,0.0,423464.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2014,2014
27,C00079541,NARAL PRO-CHOICE AMERICA PAC,Q,B,M,974837.26,0.0,974837.26,0.0,0.0,0.0,0.0,741075.0,0.0,375.0,0.0,0.0,0.0,116510.37,350272.63,0.0,0.0,703000.0,0.0,0.0,0.0,12/31/2012,2012
