,cmte_id,cmte_nm,cmte_tp,cmte_dsgn,cmte_filing_freq,ttl_receipts,trans_from_aff,indv_contrib,other_pol_cmte_contrib,cand_contrib,cand_loans,ttl_loans_received,ttl_disb,tranf_to_aff,indv_refunds,other_pol_cmte_refunds,cand_loan_repay,loan_repay,coh_bop,coh_cop,debts_owed_by,nonfed_trans_received,contrib_to_other_cmte,ind_exp,pty_coord_exp,nonfed_share_exp,cvg_end_dt,file_year
0,C00314617,"PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",Q,B,M,1116291.12,0.0,1107193.68,0.0,0.0,0.0,0.0,999404.88,0.0,5956.04,0.0,0.0,0.0,91116.54,208002.78,0.0,0.0,850822.99,0.0,0.0,0.0,11/28/2022,2022
1,C00489799,PLANNED PARENTHOOD VOTES,O,U,M,26183615.9,0.0,21123672.53,4978748.0,0.0,0.0,0.0,23970798.39,0.0,67340.0,0.0,0.0,0.0,1241389.87,3454207.38,453576.68,0.0,3155566.42,6424904.03,0.0,0.0,11/28/2022,2022
2,C00556860,"PROTECTING CHOICE IN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA",O,U,Q,306875.0,0.0,64000.0,221875.0,0.0,0.0,0.0,288251.7,0.0,0.0,21000.0,0.0,0.0,87190.32,105813.62,1324.24,0.0,40000.0,35076.66,0.0,0.0,12/31/2022,2022
3,C00568931,MI PLANNED PARENTHOOD VOTES,O,U,Q,10347.69,0.0,0.0,0.0,0.0,0.0,0.0,146739.85,0.0,0.0,0.0,0.0,0.0,136392.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2022,2022
4,C00663724,PLANNED PARENTHOOD VOTES OHIO,O,U,Q,875979.16,0.0,875979.16,0.0,0.0,0.0,0.0,839498.77,0.0,0.0,0.0,0.0,0.0,151374.58,187854.97,0.0,0.0,0.0,38228.94,0.0,0.0,11/28/2022,2022
5,C00680637,PLANNED PARENTHOOD PENNSYLVANIA VOTES,O,U,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12/31/2021,2022
6,C00684530,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,O,U,Q,2210424.7,0.0,800000.0,1350743.25,0.0,0.0,0.0,2224561.15,0.0,0.0,0.0,0.0,0.0,63823.11,49686.66,0.0,0.0,0.0,9713.51,0.0,0.0,11/28/2022,2022
7,C00685289,NEVADA ADVOCATES FOR PLANNED PARENTHOOD AFFILIATES PAC (NAPPA PAC),O,U,Q,791373.55,0.0,129619.29,661754.26,0.0,0.0,0.0,735955.73,0.0,0.0,0.0,0.0,0.0,4116.9,59534.72,0.0,0.0,0.0,727267.65,0.0,0.0,12/31/2022,2022
8,C00687491,PLANNED PARENTHOOD ADVOCACY PROJECT LOS ANGELES COUNTY ACTION FUND,O,U,Q,780094.49,0.0,746810.0,500.0,0.0,0.0,0.0,635762.69,0.0,1535.0,0.0,0.0,0.0,198663.64,342995.44,6248.55,0.0,36500.0,3201.61,0.0,0.0,11/28/2022,2022
9,C00687848,PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND PAC,O,U,Q,696726.55,0.0,680003.07,12105.08,0.0,0.0,0.0,657753.84,0.0,3750.0,0.0,0.0,0.0,37757.1,84587.92,3336.76,0.0,35034.65,108091.4,0.0,0.0,12/31/2022,2022
